Trial,Val_Accuracy,Layers,Activation,Initial neurons,Learning Rate,Batch Size,L2 Penalty,Dropout Rate,Time
1,52.87,1,tanh,512,0.00020029938660875426,128,0.00012116799146682436,0.18059581608417888,92.53
2,53.1,1,tanh,512,0.00020029938660875426,128,0.00012116799146682436,0.18059581608417888,93.42
1,40.61,2,gelu,1024,0.003934223354997136,128,0.00010636680167656556,0.2091940485028928,38.99
2,39.12,2,gelu,1024,0.003934223354997136,128,0.00010636680167656556,0.2091940485028928,32.65
3,38.86,2,gelu,1024,0.003934223354997136,128,0.00010636680167656556,0.2091940485028928,36.85
4,39.42,2,gelu,1024,0.003934223354997136,128,0.00010636680167656556,0.2091940485028928,40.67
5,38.97,2,gelu,1024,0.003934223354997136,128,0.00010636680167656556,0.2091940485028928,40.62
6,39.17,2,gelu,1024,0.003934223354997136,128,0.00010636680167656556,0.2091940485028928,38.1
7,39.77,2,gelu,1024,0.003934223354997136,128,0.00010636680167656556,0.2091940485028928,48.7
8,40.2,2,gelu,1024,0.003934223354997136,128,0.00010636680167656556,0.2091940485028928,41.84
9,40.52,2,gelu,1024,0.003934223354997136,128,0.00010636680167656556,0.2091940485028928,32.44
10,40.050000000000004,2,gelu,1024,0.003934223354997136,128,0.00010636680167656556,0.2091940485028928,40.44
1,54.1,3,relu,1536,0.00021027865399371386,64,0.0001950480758739936,0.2436879619243178,194.98
1,53.86,2,selu,1536,2.6256748626648727e-05,64,3.7127220597844555e-05,0.22412128731106953,396.92
2,52.580000000000005,3,gelu,512,1.4263376028323093e-05,128,0.0005786862853271052,0.2534269634378242,162.39
3,29.21,4,relu,512,0.0015451524402669517,96,0.0011343175904214864,0.31827692180163925,36.82
4,53.449999999999996,1,relu,1024,0.00011758166999068873,96,3.850689318726649e-05,0.35240279323173307,96.79
5,52.410000000000004,3,gelu,512,1.5166541888138321e-05,64,0.001378177159234346,0.14422287756170205,273.17
6,54.620000000000005,3,gelu,1536,1.7376285945635166e-05,96,7.003876999210151e-05,0.4663488931843819,281.34
7,54.22,3,gelu,1024,0.0003478588536829089,64,8.601308531248179e-05,0.14198709656220734,97.86
8,50.59,1,relu,512,0.00034283537063906837,64,0.00028157762905963894,0.21646554581546595,101.93
9,20.119999999999997,1,elu,1024,0.008709604738764304,96,0.009246763583760255,0.26348602925872855,56.94
10,16.99,4,tanh,1024,0.002796294604762059,96,1.7292672748116753e-05,0.1546688267322741,63.93
11,41.81,3,relu,512,0.001132920065203167,64,4.062631350176673e-05,0.25640565430479567,133.28
12,32.86,4,relu,1024,0.0029232393878545412,128,0.0012722391710365307,0.11202845689471311,54.24
13,47.88,1,selu,512,7.848417164327456e-05,128,3.741972564946648e-05,0.11398401982953366,76.99
14,32.87,1,elu,1536,0.003986352656110606,128,0.00029946351907825654,0.25589908305302334,29.13
15,48.24,1,elu,1536,0.0009864591113425024,64,8.819014911613812e-05,0.2534881725803973,94.03
16,55.47,2,gelu,1024,1.8115940110751635e-05,96,2.737492768714673e-05,0.35631931800272354,221.85
17,46.379999999999995,2,elu,1536,1.0764324054298703e-05,128,0.0012926336101449316,0.29101969985471765,220.6
18,46.97,1,tanh,512,3.643831364043771e-05,128,5.826562054791874e-05,0.3328665286262922,112.53
19,52.21,4,elu,512,0.0005571651612700609,128,1.6693330609056744e-05,0.3806512408846149,93.24
20,50.27,2,elu,1536,0.00010164816740626839,96,0.0019215401355312444,0.1906476958286504,242.8
21,15.110000000000001,4,tanh,1024,0.004562374162648342,96,0.0014624887883828552,0.16441358271416923,33.58
22,15.52,1,elu,1536,0.009531654574774472,128,0.00025346294427089073,0.3469744838745312,25.87
23,44.81,3,selu,512,1.108964069539818e-05,128,0.0009544118275927057,0.18713933355586035,151.45
24,44.41,2,relu,1024,0.0012185276230817755,128,0.00020833634402089862,0.2883378502748577,66.74
25,49.730000000000004,4,elu,512,0.00046876269851765985,64,0.00039785225734562904,0.29000974486139836,112.15
26,40.58,3,tanh,1024,1.3650473449426571e-05,96,0.006239589245304624,0.39849206502360546,218.56
27,53.21,2,elu,1536,5.5001248759223985e-05,64,0.0005224982480461552,0.1710239611846755,222.38
28,13.22,4,tanh,512,0.002515933286919149,64,0.0015753050379765897,0.420308871544517,33.54
29,40.77,3,elu,1024,0.0001712162860313132,96,0.007675370002329818,0.33213558607455285,101.9
