Trial,Optimizer,Layers,Activation,Initial neurons,Learning Rate,Batch Size,L2 Penalty,Dropout Rate,Compression Factor,Time,Val Accuracy
1,Adam,5,elu,1381,0.0004881968916719105,379,1.1631039124222031e-05,0.15319847317973437,0.5,63.14,54.339999999999996
2,Adam,6,tanh,2743,0.00015011973023372013,82,4.0652171521178265e-05,0.1225738884766921,1.0,457.19,48.63
3,Adam,2,gelu,1287,0.0003553214601078436,186,3.3310254152003335e-05,0.10957649972878701,0.5,60.56,54.64
4,Adam,3,relu,954,0.0007921568947098049,253,0.0001813603970424905,0.17043626690933208,0.5,61.44,51.349999999999994
5,Adam,6,gelu,797,0.0002879142651306301,203,0.0006714313357348614,0.2151812921590111,0.75,99.3,52.53
6,Adam,4,relu,1030,0.0007277776560399138,508,5.608847838786106e-05,0.25207400888400017,0.5,83.71,52.370000000000005
7,Adam,3,tanh,387,0.00020945921538325358,226,3.810486277532205e-05,0.1800533669951507,1.0,69.03,53.769999999999996
8,Adam,1,elu,1293,0.00021801391028948547,427,0.00024864745734618534,0.1783143160728425,0.5,91.57,52.03
9,Adam,2,selu,524,0.0005011280476638705,141,0.0001278184021641103,0.12703183368122134,0.75,68.97,52.35999999999999
10,Adam,4,gelu,2007,0.0001521396185984841,67,2.053247437468914e-05,0.18772956511851385,0.75,175.97,54.790000000000006
11,Adam,5,elu,1630,0.00017143884711109033,431,0.0008545681759873991,0.15421144333580333,1.0,211.26,51.59
12,Adam,5,relu,2400,0.0002957747522983051,138,0.000594764908980303,0.21078550003817975,0.5,176.48,52.1
13,Adam,4,elu,3020,0.00027358970402140663,68,7.61103485765257e-05,0.12077746177470017,0.75,285.51,51.18000000000001
14,Adam,1,selu,1784,0.00021613534169811937,146,2.3894440191830136e-05,0.20209994388294522,0.5,112.25,53.0
15,Adam,4,relu,557,0.00015322554038075357,266,0.0004159833698575868,0.14210320887605252,0.75,71.71,54.510000000000005
16,Adam,6,tanh,601,0.00010198041864145697,117,1.0077069827625612e-05,0.100818035079393,0.75,89.87,53.33
17,Adam,3,elu,1575,0.00020393807751390014,74,7.513137303000842e-05,0.2816594569665597,0.5,141.88,53.98
18,Adam,6,elu,3689,0.00022924151939694124,66,0.0009995667081349182,0.1491831702577887,1.0,495.73,31.319999999999997
19,Adam,2,relu,3907,0.0007329129569556614,220,1.6930150458219128e-05,0.17274906650535982,0.75,210.31,51.92
20,Adam,6,elu,3659,0.0004279552214218951,78,0.00018283204620507366,0.1907294718023606,0.75,447.39,46.2
21,Adam,6,elu,317,0.00029157685387593436,171,0.00019576477554060086,0.2570854668676262,1.0,106.92,54.120000000000005
