Optimizer,Learning rate,Hidden layers,Neurons in layer,Activation function,Epochs,Batch size,Dropout rate,L2 regularization,Compression factor,Test accuracy,Test loss
Adam,9.445535920509414e-05,4,"[1536, 1152, 864, 648]",elu,100,96,0.22609645687258872,0.0022603146371895895,0.75,48.76,1.6291
Adam,0.006973537733670784,3,"[512, 256, 128]",gelu,100,128,0.4210369346746494,4.044929415578071e-05,0.5,17.5,2.1695
Adam,7.230644251136138e-05,3,"[1024, 1024, 1024]",tanh,100,96,0.24841055639430684,2.2349643394897e-05,1.0,56.02,1.3483
Adam,0.0004072984653948079,1,[1536],relu,100,128,0.3388826096988671,0.002084085914660019,0.75,45.67,1.6462
Adam,0.0012925411579925632,1,[1024],relu,100,128,0.1424044797541303,0.005585811505117444,1.0,37.95,1.8028
Adam,0.0025458718305963347,4,"[512, 256, 128, 64]",selu,100,128,0.34819137147943,0.0021976722506274176,0.5,26.6,2.052
Adam,0.009243939752802632,4,"[1536, 1536, 1536, 1536]",gelu,100,128,0.37015952163750454,0.0013870227591975758,1.0,10.05,3.5335
Adam,1.9423722318946362e-05,1,[512],relu,100,128,0.42846615171148583,0.002830444723248778,1.0,51.09,1.6655
Adam,0.00025258606887452204,3,"[512, 384, 288]",relu,100,64,0.4030158691757192,0.009685310995106146,0.75,38.75,1.8306
Adam,0.00896483581055889,2,"[1024, 768]",selu,100,64,0.23536176735085979,0.0002724468832618729,0.75,14.6,3.0025
Adam,0.00016156166592647342,1,[1536],relu,100,96,0.4315368845033616,0.00039838683597212364,1.0,52.56,1.4656
Adam,0.0017415438019482015,2,"[512, 512]",relu,100,64,0.3324080733495045,1.754412000574685e-05,1.0,35.4,1.8174
Adam,0.002277431791988194,2,"[1024, 768]",relu,100,64,0.3263917339548127,0.006626972635018026,0.75,20.88,2.1047
Adam,0.007293869944036688,1,[1536],tanh,100,128,0.48651259590465235,0.00014974232156861686,0.75,14.73,2.8498
Adam,0.0029406996431517504,3,"[1024, 1024, 1024]",elu,100,96,0.18469096093082824,0.00014693242031653262,1.0,34.48,1.967
Adam,0.00200928269525194,1,[1024],gelu,100,128,0.3998372042296462,0.00025849478031978774,0.5,37.01,1.9277
Adam,7.269601582814782e-05,4,"[1536, 1536, 1536, 1536]",tanh,100,64,0.1627300658955953,0.0008080801057874071,1.0,51.93,1.5669
Adam,3.8950761457426306e-05,3,"[512, 512, 512]",relu,100,128,0.1216003913117863,0.0008962723530293533,1.0,55.7,1.7631
Adam,0.00014542409028383275,2,"[512, 512]",elu,100,64,0.438601218758531,0.001964662321260734,1.0,45.86,1.6755
Adam,0.0029915193952214972,1,[512],relu,100,64,0.4635478041453225,2.0890599628566803e-05,0.75,31.17,1.8891
Adam,0.0032565530292752638,3,"[1024, 512, 256]",tanh,100,96,0.37292620854351277,0.004081872187375363,0.5,18.34,2.33
Adam,0.002897175433487366,2,"[1536, 1152]",selu,100,96,0.11408172028656192,1.2275012708264063e-05,0.75,40.9,1.7233
Adam,3.473356579578357e-05,4,"[512, 256, 128, 64]",gelu,100,64,0.29201007116419264,0.000683677974900293,0.5,55.4,1.5459
Adam,4.112532839635978e-05,3,"[512, 256, 128]",gelu,100,128,0.21151329226985083,0.0004960386722088115,0.5,55.37,1.5607
Adam,0.0001213242756367057,4,"[1024, 1024, 1024, 1024]",selu,100,128,0.3237011982562475,5.137457636489523e-05,1.0,55.47,1.4717
Adam,0.0051694369502383805,3,"[512, 384, 288]",tanh,100,96,0.2803058835812974,0.0031694622066929887,0.75,12.21,2.5375
Adam,1.751724455800526e-05,4,"[512, 384, 288, 216]",gelu,100,128,0.13734730870114104,1.2243293183953697e-05,0.75,54.24,1.3015
Adam,1.909618928636759e-05,4,"[512, 256, 128, 64]",relu,100,96,0.11731018566340756,1.4881877535729548e-05,0.5,53.95,1.3249
Adam,0.005214224332918296,2,"[512, 256]",elu,100,128,0.4779290202139679,0.00012565751373048423,0.5,25.37,2.107
Adam,0.0073174219747403,1,[512],gelu,100,64,0.4659602097802126,7.182249098068566e-05,1.0,15.82,2.6182
Adam,0.0011497693252034424,3,"[1024, 512, 256]",gelu,100,128,0.44977265806959543,0.00010013732755584724,0.5,36.02,1.8568
Adam,0.001981858915295387,1,[1536],relu,100,96,0.10133209867792528,0.0004690126636344203,0.5,42.59,1.6953
Adam,0.0016687906187934929,2,"[1536, 1536]",elu,100,96,0.38065745948186125,0.0020431701092271663,1.0,30.22,2.1886
Adam,1.2871785954993917e-05,3,"[1024, 768, 576]",elu,100,128,0.33915568968943,0.0021073686611431087,0.75,46.37,2.59
Adam,0.0005526649797674301,1,[1536],gelu,100,96,0.16298286107616092,0.0024874613865345932,0.5,46.82,1.6321
Adam,0.0020686230630811166,1,[1024],relu,100,128,0.43454808576747106,4.250583269208233e-05,1.0,40.68,1.7043
Adam,0.0010300706070309356,3,"[512, 384, 288]",elu,100,128,0.2096921473827539,0.0026795476089300644,0.75,41.85,1.7884
Adam,0.007886259292865743,2,"[1024, 768]",gelu,100,96,0.30641948852943524,0.0001732885546422083,0.75,17.9,2.337
Adam,1.64281707997954e-05,1,[1024],tanh,100,96,0.3074258635261313,1.641140772483169e-05,0.75,46.42,1.5601
Adam,0.0001294653328427445,2,"[1536, 768]",relu,100,64,0.38209822409465866,5.080931280118564e-05,0.5,53.37,1.3558
Adam,0.005492864250134111,2,"[512, 256]",relu,100,128,0.3572413431432402,7.599400281178816e-05,0.5,22.76,2.0029
Adam,0.0005322302151084632,4,"[512, 512, 512, 512]",tanh,100,128,0.2192209052633611,0.0013380947387368588,1.0,43.0,1.7235
Adam,0.0034867338979846347,2,"[512, 384]",elu,100,64,0.17920777340968685,0.001056872535801149,0.75,33.97,2.0844
Adam,0.0008986227980305849,2,"[1536, 1152]",gelu,100,96,0.39064359323132425,1.49984866841973e-05,0.75,43.14,1.6822
Adam,0.003884437263198745,2,"[512, 512]",selu,100,64,0.40502482264205686,3.3555201727370695e-05,1.0,29.73,1.9905
Adam,0.0027767552923450996,2,"[1024, 768]",gelu,100,96,0.33492463137028206,0.0002952851773648663,0.75,33.88,2.1179
Adam,8.073318711591607e-05,4,"[1536, 1152, 864, 648]",tanh,100,64,0.4482801179249235,0.006553449811306865,0.75,37.92,1.8766
Adam,0.0008811048894048064,3,"[1024, 768, 576]",selu,100,96,0.32894590948630753,0.00044914832643060424,0.75,39.79,1.8667
Adam,2.4466031819923347e-05,2,"[1024, 512]",tanh,100,64,0.38401112289781125,0.008401002220799283,0.5,41.44,1.7804
Adam,0.00014858836690347915,1,[1536],tanh,100,64,0.4051971755455367,0.00044818036100953017,0.5,49.16,1.5458
Adam,0.0024630920194466605,3,"[1536, 768, 384]",tanh,100,64,0.264966069822809,3.5156285831187265e-05,0.5,17.08,2.3173
Adam,0.0001321979076292169,3,"[1024, 1024, 1024]",relu,100,64,0.16370106252881078,0.00022295788238158867,1.0,54.71,1.4593
Adam,0.001179236294283461,4,"[1536, 1152, 864, 648]",elu,100,96,0.1479711439695804,0.0011304484638817271,0.75,42.65,1.8146
